altitude,temperature,pressure,density
12700.000000,216.660000,17318.794877,0.278473
12800.000000,216.660000,17048.503316,0.274127
12900.000000,216.660000,16782.446697,0.269849
13000.000000,216.660000,16520.558407,0.265638
13100.000000,216.660000,16262.772887,0.261493
13200.000000,216.660000,16009.025612,0.257413
13300.000000,216.660000,15759.253075,0.253396
13400.000000,216.660000,15513.392774,0.249443
13500.000000,216.660000,15271.383193,0.245552
13600.000000,216.660000,15033.163784,0.241721
13700.000000,216.660000,14798.674959,0.237951
13800.000000,216.660000,14567.858067,0.234240
13900.000000,216.660000,14340.655385,0.230587
14000.000000,216.660000,14117.010100,0.226990
14100.000000,216.660000,13896.866295,0.223451
14200.000000,216.660000,13680.168936,0.219966
14300.000000,216.660000,13466.863858,0.216537
14400.000000,216.660000,13256.897748,0.213161
14500.000000,216.660000,13050.218138,0.209837
14600.000000,216.660000,12846.773385,0.206566
14700.000000,216.660000,12646.512660,0.203346
14800.000000,216.660000,12449.385938,0.200176
14900.000000,216.660000,12255.343982,0.197056
15000.000000,216.660000,12064.338330,0.193985
15100.000000,216.660000,11876.321288,0.190962
15200.000000,216.660000,11691.245910,0.187986
15300.000000,216.660000,11509.065993,0.185057
15400.000000,216.660000,11329.736061,0.182173
15500.000000,216.660000,11153.211357,0.179335
15600.000000,216.660000,10979.447826,0.176541
15700.000000,216.660000,10808.402112,0.173791
15800.000000,216.660000,10640.031539,0.171083
15900.000000,216.660000,10474.294104,0.168418
16000.000000,216.660000,10311.148469,0.165795
16100.000000,216.660000,10150.553944,0.163213
16200.000000,216.660000,9992.470482,0.160671
16300.000000,216.660000,9836.858667,0.158169
16400.000000,216.660000,9683.679704,0.155706
16500.000000,216.660000,9532.895409,0.153281
16600.000000,216.660000,9384.468199,0.150895
16700.000000,216.660000,9238.361085,0.148546
16800.000000,216.660000,9094.537659,0.146233
16900.000000,216.660000,8952.962088,0.143957
17000.000000,216.660000,8813.599101,0.141716
17100.000000,216.660000,8676.413986,0.139510
17200.000000,216.660000,8541.372575,0.137339
17300.000000,216.660000,8408.441239,0.135201
17400.000000,216.660000,8277.586878,0.133097
17500.000000,216.660000,8148.776915,0.131026
17600.000000,216.660000,8021.979285,0.128987
17700.000000,216.660000,7897.162426,0.126980
17800.000000,216.660000,7774.295275,0.125005
17900.000000,216.660000,7653.347259,0.123060
18000.000000,216.660000,7534.288283,0.121145
18100.000000,216.660000,7417.088729,0.119261
18200.000000,216.660000,7301.719444,0.117406
18300.000000,216.660000,7188.151732,0.115580
18400.000000,216.660000,7076.357352,0.113782
18500.000000,216.660000,6966.308505,0.112013
18600.000000,216.660000,6857.977830,0.110271
18700.000000,216.660000,6751.338397,0.108556
18800.000000,216.660000,6646.363699,0.106868
18900.000000,216.660000,6543.027648,0.105207
19000.000000,216.660000,6441.304564,0.103571
