Mach,Alpha,CD
2.660000,0,0.346000
2.670000,0,0.345000
2.680000,0,0.344000
2.690000,0,0.343000
2.700000,0,0.342000
2.710000,0,0.341000
2.720000,0,0.340000
2.730000,0,0.339000
2.740000,0,0.338000
2.750000,0,0.337000
2.760000,0,0.336000
2.770000,0,0.335000
2.780000,0,0.333000
2.790000,0,0.332000
2.800000,0,0.331000
2.810000,0,0.330000
2.820000,0,0.329000
2.830000,0,0.328000
2.840000,0,0.327000
2.850000,0,0.326000
2.860000,0,0.325000
2.870000,0,0.324000
2.880000,0,0.323000
2.890000,0,0.322000
2.900000,0,0.321000
2.910000,0,0.320000
2.920000,0,0.319000
2.930000,0,0.318000
2.940000,0,0.317000
2.950000,0,0.316000
2.960000,0,0.315000
2.970000,0,0.315000
2.980000,0,0.314000
2.990000,0,0.313000
3.000000,0,0.312000
3.010000,0,0.311000
3.020000,0,0.310000
3.030000,0,0.309000
3.040000,0,0.308000
3.050000,0,0.307000
3.060000,0,0.307000
3.070000,0,0.306000
3.080000,0,0.305000
3.090000,0,0.304000
3.100000,0,0.303000
3.110000,0,0.302000
3.120000,0,0.302000
3.130000,0,0.301000
3.140000,0,0.300000
3.150000,0,0.299000
3.160000,0,0.298000
3.170000,0,0.298000
3.180000,0,0.297000
3.190000,0,0.296000
3.200000,0,0.295000
3.210000,0,0.294000
3.220000,0,0.294000
3.230000,0,0.293000
3.240000,0,0.292000
3.250000,0,0.291000
3.260000,0,0.291000
3.270000,0,0.290000
3.280000,0,0.289000
3.290000,0,0.288000
3.300000,0,0.288000
3.310000,0,0.287000
3.320000,0,0.286000
3.330000,0,0.285000
3.340000,0,0.285000
3.350000,0,0.284000
3.360000,0,0.283000
3.370000,0,0.282000
3.380000,0,0.282000
3.390000,0,0.281000
3.400000,0,0.280000
3.410000,0,0.280000
3.420000,0,0.279000
3.430000,0,0.278000
3.440000,0,0.277000
3.450000,0,0.277000
3.460000,0,0.276000
3.470000,0,0.275000
3.480000,0,0.275000
3.490000,0,0.274000
3.500000,0,0.273000
3.510000,0,0.272000
3.520000,0,0.272000
3.530000,0,0.271000
3.540000,0,0.270000
3.550000,0,0.270000
3.560000,0,0.269000
3.570000,0,0.268000
3.580000,0,0.268000
3.590000,0,0.267000
3.600000,0,0.266000
3.610000,0,0.266000
3.620000,0,0.265000
3.630000,0,0.264000
3.640000,0,0.264000
3.650000,0,0.263000
3.660000,0,0.263000
3.670000,0,0.262000
3.680000,0,0.261000
3.690000,0,0.261000
3.700000,0,0.260000
3.710000,0,0.259000
3.720000,0,0.259000
3.730000,0,0.258000
3.740000,0,0.257000
3.750000,0,0.257000
3.760000,0,0.256000
3.770000,0,0.256000
3.780000,0,0.255000
3.790000,0,0.254000
3.800000,0,0.254000
3.810000,0,0.253000
3.820000,0,0.253000
3.830000,0,0.252000
3.840000,0,0.251000
3.850000,0,0.251000
3.860000,0,0.250000
3.870000,0,0.250000
3.880000,0,0.249000
3.890000,0,0.248000
3.900000,0,0.248000
3.910000,0,0.247000
3.920000,0,0.247000
3.930000,0,0.246000
3.940000,0,0.245000
3.950000,0,0.245000
3.960000,0,0.244000
3.970000,0,0.244000
3.980000,0,0.243000
3.990000,0,0.243000
4.000000,0,0.242000
4.010000,0,0.242000
4.020000,0,0.241000
4.030000,0,0.240000
4.040000,0,0.240000
4.050000,0,0.239000
4.060000,0,0.239000
4.070000,0,0.238000
4.080000,0,0.238000
4.090000,0,0.237000
4.100000,0,0.237000
4.110000,0,0.236000
4.120000,0,0.236000
4.130000,0,0.235000
4.140000,0,0.235000
4.150000,0,0.234000
4.160000,0,0.234000
4.170000,0,0.233000
4.180000,0,0.233000
4.190000,0,0.232000
4.200000,0,0.232000
4.210000,0,0.231000
4.220000,0,0.231000
4.230000,0,0.230000
4.240000,0,0.230000
4.250000,0,0.229000
4.260000,0,0.229000
4.270000,0,0.228000
4.280000,0,0.228000
4.290000,0,0.227000
4.300000,0,0.227000
4.310000,0,0.226000
4.320000,0,0.226000
4.330000,0,0.225000
4.340000,0,0.225000
4.350000,0,0.224000
4.360000,0,0.224000
4.370000,0,0.223000
4.380000,0,0.223000
4.390000,0,0.222000
4.400000,0,0.222000
4.410000,0,0.221000
4.420000,0,0.221000
4.430000,0,0.221000
4.440000,0,0.220000
4.450000,0,0.220000
4.460000,0,0.219000
4.470000,0,0.219000
4.480000,0,0.218000
4.490000,0,0.218000
4.500000,0,0.217000
4.510000,0,0.217000
4.520000,0,0.216000
4.530000,0,0.216000
4.540000,0,0.216000
4.550000,0,0.215000
4.560000,0,0.215000
4.570000,0,0.214000
4.580000,0,0.214000
4.590000,0,0.213000
4.600000,0,0.213000
4.610000,0,0.213000
4.620000,0,0.212000
4.630000,0,0.212000
4.640000,0,0.211000
4.650000,0,0.211000
4.660000,0,0.210000
4.670000,0,0.210000
4.680000,0,0.210000
4.690000,0,0.209000
4.700000,0,0.209000
4.710000,0,0.208000
4.720000,0,0.208000
4.730000,0,0.207000
4.740000,0,0.207000
4.750000,0,0.207000
4.760000,0,0.206000
4.770000,0,0.206000
4.780000,0,0.205000
4.790000,0,0.205000
4.800000,0,0.205000
4.810000,0,0.204000
4.820000,0,0.204000
4.830000,0,0.203000
4.840000,0,0.203000
4.850000,0,0.203000
4.860000,0,0.202000
4.870000,0,0.202000
4.880000,0,0.201000
4.890000,0,0.201000
4.900000,0,0.201000
4.910000,0,0.200000
4.920000,0,0.200000
4.930000,0,0.199000
4.940000,0,0.199000
4.950000,0,0.199000
4.960000,0,0.198000
4.970000,0,0.198000
4.980000,0,0.197000
4.990000,0,0.197000
5.000000,0,0.197000
0.010000,2,0.490000
0.020000,2,0.479000
0.030000,2,0.461000
0.040000,2,0.454000
0.050000,2,0.449000
0.060000,2,0.443000
0.070000,2,0.438000
0.080000,2,0.434000
