time,thrust
0.508000,5779.172196
0.510000,5778.254742
0.512000,5777.338436
0.514000,5776.423278
0.516000,5775.509264
0.518000,5774.596393
0.520000,5773.684664
0.522000,5772.774074
0.524000,5771.864621
0.526000,5770.956304
0.528000,5770.049120
0.530000,5769.143069
0.532000,5768.238147
0.534000,5767.334353
0.536000,5766.431685
0.538000,5765.530142
0.540000,5764.629721
0.542000,5763.730421
0.544000,5762.832239
0.546000,5761.935173
0.548000,5761.039223
0.550000,5760.144386
0.552000,5759.250659
0.554000,5758.358042
0.556000,5757.466532
0.558000,5756.576128
0.560000,5755.686827
0.562000,5754.798628
0.564000,5753.911529
0.566000,5753.025527
0.568000,5752.140622
0.570000,5751.256811
0.572000,5750.374092
0.574000,5749.492463
0.576000,5748.611923
0.578000,5747.732470
0.580000,5746.854102
0.582000,5745.976816
0.584000,5745.100611
0.586000,5744.225486
0.588000,5743.351438
0.590000,5742.478465
0.592000,5741.606566
0.594000,5740.735739
0.596000,5739.865981
0.598000,5738.997292
0.600000,5738.129668
0.602000,5737.263109
0.604000,5736.397612
0.606000,5735.533175
0.608000,5734.669797
0.610000,5733.807476
0.612000,5732.946210
0.614000,5732.085997
0.616000,5731.226835
0.618000,5730.368723
0.620000,5729.511658
0.622000,5728.655638
0.624000,5727.800663
0.626000,5726.946729
0.628000,5726.093835
0.630000,5725.241980
0.632000,5724.391161
0.634000,5723.541377
0.636000,5722.692625
0.638000,5721.844904
0.640000,5720.998212
0.642000,5720.152547
0.644000,5719.307908
0.646000,5718.464292
0.648000,5717.621698
0.650000,5716.780123
0.652000,5715.939567
0.654000,5715.100026
0.656000,5714.261500
0.658000,5713.423987
0.660000,5712.587484
0.662000,5711.751990
0.664000,5710.917503
0.666000,5710.084021
0.668000,5709.251543
0.670000,5708.420066
0.672000,5707.589589
0.674000,5706.760110
0.676000,5705.931634
0.678000,5705.104159
0.680000,5704.277684
0.682000,5703.452206
0.684000,5702.627724
0.686000,5701.804234
0.688000,5700.981734
0.690000,5700.160222
0.692000,5699.339695
0.694000,5698.520149
0.696000,5697.701582
0.698000,5696.883992
0.700000,5696.067374
0.702000,5695.251728
0.704000,5694.437049
0.706000,5693.623334
0.708000,5692.810582
0.710000,5691.998789
0.712000,5691.187952
0.714000,5690.378069
0.716000,5689.569137
0.718000,5688.761152
0.720000,5687.954113
0.722000,5687.148017
0.724000,5686.342860
0.726000,5685.538640
0.728000,5684.735354
0.730000,5683.932999
0.732000,5683.131574
0.734000,5682.331074
0.736000,5681.531498
0.738000,5680.732842
0.740000,5679.935104
0.742000,5679.138281
0.744000,5678.342371
0.746000,5677.547370
0.748000,5676.753277
0.750000,5675.960088
0.752000,5675.167801
0.754000,5674.376414
0.756000,5673.585922
0.758000,5672.796325
0.760000,5672.007619
0.762000,5671.219801
0.764000,5670.432870
0.766000,5669.646822
0.768000,5668.861655
0.770000,5668.077366
0.772000,5667.293953
0.774000,5666.511413
